Facility_uid,Facility_name,Facility_uid,Level,Ownership,Authority,Coordinates,Subcounty_uid,Subcounty_name,District_uid,District_name,Region_uid,Region_name
Ugl9pT2K5B0,01 Commando HC II,Ugl9pT2K5B0,HC II,Government,Army,,PrIDcobIQsW,Okwang Subcounty,aXjub1BYn1y,Otuke District,pz9Uu65Irbg,Northern Region
ju47RHFxYjp,1Div Military HOSPITAL,ju47RHFxYjp,General Hospital,Government,MOH,,UOGlWhl35aX,Kakiri Subcounty,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
xYZq8eBXMrD,303 Bregade HC II,xYZq8eBXMrD,HC II,,Army,,aaCfJhBmGNy,Bagezza Subcounty,lzWuB6bCQeV,Mubende District,VA90IqaI4Ji,Central Region
nBDPw7Qhd7r,307 Bde-Kavera HC III,nBDPw7Qhd7r,HC III,,,,DHWHrDD2bPf,Kitswamba Subcounty,aa8xVDzSpte,Kasese District,auJdpeHbeet,Western Region
WqIs7ciPmmO,407 Brigade HC III,WqIs7ciPmmO,HC III,,Army,"[34.74591,1.90730]",a6WHMHqHS7a,Moruita Subcounty,VuHCApXcMTm,Nakapiripirit District,pz9Uu65Irbg,Northern Region
auzuV39xOTU,5Th  Military Division HOSPITAL,auzuV39xOTU,General Hospital,Government,Army,"[33.00944,2.77578]",uMZROveCZt0,Pader Subcounty,aBrjuZk0W31,Pader District,pz9Uu65Irbg,Northern Region
Qof8ZRsB0Ms,åÊKanapa NGO HC II,Qof8ZRsB0Ms,HC II,Private For Profit,Local Government,,vhBrLJBbs8t,Ongino Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
RMa77JR8lqr,A-Z Childrens Charity Kassengejje CLINIC-NR,RMa77JR8lqr,,,MOH,,UjUroihV9AC,Wakiso Subcounty,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
qSggj3GXhuN,A.I.A Med. Services HC II,qSggj3GXhuN,HC II,Private For Profit,Local Government,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
alUBxbspvpe,A&B Shalom HC II,alUBxbspvpe,HC II,Private For Profit,Local Government,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
J2JiemiIQvD,Aakum HC II,J2JiemiIQvD,HC II,Government,MOH,"[34.08282,1.99413]",y1iun1mJXWa,Usuk Subcounty,cSrCFjPKqcG,Katakwi District,adZ6T35ve4h,Eastern Region
I6QbcVsphVT,AAR Acacia Clinic HC II,I6QbcVsphVT,HC II,Private For Profit,Local Government,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
FbzPPH8fy5s,AAR Bugolobi branch HC II,FbzPPH8fy5s,HC II,Private For Profit,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
hE3E3nXNUjX,AAR City Centre branch HC II,hE3E3nXNUjX,HC II,Private For Profit,,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
CZaixL46Cr9,AAR Clinic HC II NR,CZaixL46Cr9,HC II,,,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
b2LlvIFGc5U,AAR Gulu Clinic,b2LlvIFGc5U,Clinic,Private For Profit,Local Government,,x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
pLkoHnX3Ukn,AAR Kabalagala branch HC II,pLkoHnX3Ukn,HC II,Private For Profit,,,FbuhMjEaMXt,Makindye Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
KMKSbxhedfy,AAR Makerere branch HC II,KMKSbxhedfy,HC II,Private For Profit,,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
j1gpp563TOQ,AAR Ntinda branch HC II,j1gpp563TOQ,HC II,Private For Profit,,,kKEBeO1LL7S,Nakawa Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
aVQCbe80pl7,Aarapoo HC II,aVQCbe80pl7,HC II,Government,MOH,"[33.22673,1.42831]",tt9yUB7IjHC,Pingire Subcounty,zJfpujxC1kD,Serere District,adZ6T35ve4h,Eastern Region
