facility_id_cphl,Facility_CPHL,Level,Hub,DHIS2_Facility_Sync,Level_DHIS2,Facility_uid,Coordinates_DHIS2,Ownership_DHIS2,Authority_DHIS2,Subcounty_DHIS2,Subcounty_uid,District_CPHL,District_DHIS2,District_uid,Region_CPHL,Region_DHIS2,Region_uid
0,2nd DIV Military Hospital(Makenke),HC IV,Mbarara Hub,UPDF 2nd Div.Hospital,General Hospital,a6CCCxArlVG,"[30.69114,-0.574550]",Government,Army,Kakoba Division,auswb7JO9wY,Mbarara,Mbarara District,auswb7JO9wY,South Western,Western Region,auJdpeHbeet
0,305 Brigade Kavera HC III,HC III,Kilembe Mines Hub,307 Bde-Kavera HC III,HC III,nBDPw7Qhd7r,0,0,0,Kitswamba Subcounty,aa8xVDzSpte,Kasese,Kasese District,aa8xVDzSpte,Mid Western,Western Region,auJdpeHbeet
0,405 Brigade HC III,HC III,Kotido Hub,,,,,,,,,Kotido,,,North East,,
0,407 Brigade HC III,HC III,Tokora Hub,407 Brigade HC III,HC III,WqIs7ciPmmO,"[34.74591,1.90730]",0,Army,Moruita Subcounty,VuHCApXcMTm,Nakapiripirit,Nakapiripirit District,VuHCApXcMTm,North East,Northern Region,pz9Uu65Irbg
0,Aakum HC II,HC II,Katakwi Hub,Aakum HC II,HC II,J2JiemiIQvD,"[34.08282,1.99413]",Government,MOH,Usuk Subcounty,cSrCFjPKqcG,Katakwi ,Katakwi District,cSrCFjPKqcG,North East,Eastern Region,adZ6T35ve4h
0,Aarapoo HC II,HC II,Serere Hub,Aarapoo HC II,HC II,aVQCbe80pl7,"[33.22673,1.42831]",Government,MOH,Pingire Subcounty,zJfpujxC1kD,Serere,Serere District,zJfpujxC1kD,North East,Eastern Region,adZ6T35ve4h
2,Abako HC III,HC III,Alebtong Hub ,Abako HC III,HC III,yDPmjwoOIxi,"[33.22367,2.14555]",Government,UPMB,Abako Subcounty,p7EEgDEX3jT,Alebtong,Alebtong District,p7EEgDEX3jT,Mid Northern,Northern Region,pz9Uu65Irbg
0,Abako-Elim HC II,HC II,Alebtong Hub ,Abako-Elim HC II,HC II,etPrOnArvd1,"[33.20304,2.12141]",Private Not For Profit,0,Awei Subcounty,p7EEgDEX3jT,Alebtong,Alebtong District,p7EEgDEX3jT,Mid Northern,Northern Region,pz9Uu65Irbg
0,Abalang  Dokolo HC II,HC II,Dokolo Hub,Abalang  Dokolo HC II,HC II,UjMKFe4MIGj,"[33.244536,2.032713]",Government,MOH,Okwalongwen Subcounty,wMQ25dybdgH,Dokolo,Dokolo District,wMQ25dybdgH,Mid Northern,Northern Region,pz9Uu65Irbg
0,Abalang HC II,HC II,Kaberamaido Hub,Abalang HC II,HC II,aQrkHdMfe12,"[33.29895,1.98173]",Government,MOH,Anyara Subcounty,QoRZB7xc3j9,Kaberamaido,Kaberamaido District,QoRZB7xc3j9,North East,Eastern Region,adZ6T35ve4h
0,Abarilela HC III,HC III,Amuria Hub,Abarilela HC III,HC III,IswqGyDbcgm,"[33.81817,1.962]",Government,MOH,Abarilela Subcounty,TM6ccNxawqy,Amuria,Amuria District,TM6ccNxawqy,North East,Eastern Region,adZ6T35ve4h
3,Aber Hospital,Hospital,Aber Hub,Aber Hospital,General Hospital,cDGKAJzfkpf,0,Private Not For Profit,0,Kamdini Subcountry,xpIFdCMhVHG,Oyam,Oyam District,xpIFdCMhVHG,Mid Northern,Northern Region,pz9Uu65Irbg
0,Abia HC II,Clinic,Alebtong Hub ,Alebtong Abia HC II GOVT,HC II,SNwc1CQIXTN,"[33.15979,2.42085]",Government,MOH,Abia Subcounty,p7EEgDEX3jT,Alebtong,Alebtong District,p7EEgDEX3jT,Mid Northern,Northern Region,pz9Uu65Irbg
4,Abim Hospital,Hospital,Abim Hub,Abim Hospital,General Hospital,RxPKxSBe0DC,"[33.66236,2.67686]",Government,MOH,Abim Town Council,NREoMszwQZW,Abim,Abim District,NREoMszwQZW,North East,Northern Region,pz9Uu65Irbg
5,Aboke HC IV,HC IV,Aber Hub,Aboke HC IV,HC IV,UIhutvdIhqU,"[32.68130,2.35130]",Government,MOH,Aboke Subcounty,Y4LV8xqkv6J,Kole,Kole District,Y4LV8xqkv6J,Mid Northern,Northern Region,pz9Uu65Irbg
