id,district,hub,dhis2_name,dhis2_uid,mapCode,regionID,created,createdby
1,Abim,Abim,Abim District,NREoMszwQZW,UG.AI,12,14/07/2014 11:02,samuel@trailanalytics.com
2,Adjumani,Adjumani,Adjumani District,QYiQ2KqgCxj,UG.AD,14,14/07/2014 11:02,samuel@trailanalytics.com
101,Agago,Kalongo,Agago District,ztIyIYAzFKp,,10,14/07/2014 11:02,samuel@trailanalytics.com
102,Alebtong,Alebtong,Alebtong District,p7EEgDEX3jT,,10,14/07/2014 11:02,samuel@trailanalytics.com
3,Amolatar,Amolatar,Amolatar District,ZuQHWOaFQVM,UG.AT,10,14/07/2014 11:02,samuel@trailanalytics.com
103,Amudat,Tokora,Amudat District,a8RHFdF4DXL,,12,14/07/2014 11:02,samuel@trailanalytics.com
4,Amuria,Amuria,Amuria District,TM6ccNxawqy,UG.AM,12,14/07/2014 11:02,samuel@trailanalytics.com
5,Amuru,Atiak,Amuru District,C0RSe3EWBqU,UG.KQ,10,14/07/2014 11:02,samuel@trailanalytics.com
6,Apac,Apac,Apac District,JyZJhGXKeEq,UG.AC,10,14/07/2014 11:02,samuel@trailanalytics.com
7,Arua,Arua,Arua District,WcB3kLlgRTb,UG.AW,14,14/07/2014 11:02,samuel@trailanalytics.com
8,Budaka,Mbale,Budaka District,kb7iUQISRlx,UG.BD,9,14/07/2014 11:02,samuel@trailanalytics.com
9,Bududa,Mbale,Bududa District,AhwgeZQYj16,,9,14/07/2014 11:02,samuel@trailanalytics.com
10,Bugiri,Bugiri,Bugiri District,gUaoj8Geuao,UG.BG,7,14/07/2014 11:02,samuel@trailanalytics.com
109,Buhweju,nsiika,Buhweju District,sWoNWQZ9qrD,,13,14/07/2014 11:02,samuel@trailanalytics.com
11,Buikwe,Kawolo,Buikwe District,x75Yh65MaUa,,6,14/07/2014 11:02,samuel@trailanalytics.com
12,Bukedea,Atutur,Bukedea District,tdZbtg9sZkO,,12,14/07/2014 11:02,samuel@trailanalytics.com
93,Bukomansimbi,Butenga,Bukomansimbi District,Ame30QOwuX6,,5,14/07/2014 11:02,samuel@trailanalytics.com
13,Bukwo,Kapchorwa,Bukwo District,e8m9ZYMRoeR,UG.BW,9,14/07/2014 11:02,samuel@trailanalytics.com
94,Bulambuli,Budadiri,Bulambuli District,auLatLbcOxf,,9,14/07/2014 11:02,samuel@trailanalytics.com
14,Buliisa,Buliisa,Buliisa District,CQTmrrriwOq,UG.BL,11,14/07/2014 11:02,samuel@trailanalytics.com
15,Bundibugyo,Bundibugyo,Bundibugyo District,g8M1cWRJZV6,UG.BN,11,14/07/2014 11:02,samuel@trailanalytics.com
16,Bushenyi,Bushenyi,Bushenyi District,It5UGwdHAPF,UG.BS,13,14/07/2014 11:02,samuel@trailanalytics.com
17,Busia,Masafu,Busia District,lkuO79O6mRx,UG.BU,9,14/07/2014 11:02,samuel@trailanalytics.com
18,Butaleja,Busolwe,Butaleja District,MtpE3CH6vq3,UG.BJ,9,14/07/2014 11:02,samuel@trailanalytics.com
88,Butambala,Gombe,Butambala District,a3LMKP8z8Xj,,5,14/07/2014 11:02,samuel@trailanalytics.com
19,Buvuma,Buvuma,Buvuma District,aZLZPPjqft0,,6,14/07/2014 11:02,samuel@trailanalytics.com
20,Buyende,Kidera,Buyende District,F3ccON3OCsL,,7,14/07/2014 11:02,samuel@trailanalytics.com
