cphl_facility_id,cphl_facility_name,dhis2_facility_name,dhis2_facility_uid,dhis2_district_uid
3197,"	St Francis Of Asiisi Marternity Home (lukaya)",St. Francis Maternity Home,dkhfFpWRiL0,ahyi8Uq4vaj
1690,"	Uganda Muslim Supreme Council H/C III",UMSC Mityana Clinic HC III,FU2kBudFOKd,Q7PaNIbyZII
3189,2nd DIV Military Hospital(Makenke),UPDF 2nd Div.Hospital,a6CCCxArlVG,auswb7JO9wY
2539,309 BDE Kavera H/C III,307 Bde-Kavera HC III,nBDPw7Qhd7r,aa8xVDzSpte
3013,Abaro H/C III,Abako HC III,yDPmjwoOIxi,p7EEgDEX3jT
1566,407 Brigade H/C III,407 Brigade HC III,WqIs7ciPmmO,VuHCApXcMTm
8237,Aakum H/C II,Aakum HC II,J2JiemiIQvD,cSrCFjPKqcG
3249,Aarapoo H/C II,Aarapoo HC II,aVQCbe80pl7,zJfpujxC1kD
2,Abako H/C III,Abako HC III,yDPmjwoOIxi,p7EEgDEX3jT
2590,Abarilela H/C III,Abarilela HC III,IswqGyDbcgm,TM6ccNxawqy
3015,Atagwata H/C III,Atangwata HC II,kGKMylkSAy8,aXjub1BYn1y
2961,Abedober H/C III,Abedober HC III,YhPJwSvxDcC,JyZJhGXKeEq
3,Aber Hospital,Aber Hospital,cDGKAJzfkpf,xpIFdCMhVHG
2955,Abia H/C II,Alebtong Abia HC II GOVT,SNwc1CQIXTN,p7EEgDEX3jT
4,Abim Hospital,Abim Hospital,RxPKxSBe0DC,NREoMszwQZW
5,Aboke H/C IV,Aboke HC IV,UIhutvdIhqU,Y4LV8xqkv6J
6,Abongomola H/C III,Abongomola HC III,xzRSc5XHzys,JyZJhGXKeEq
2939,Abwoch H/C II,Abwoch HC II,JryqknC2SNp,S5fvUXgY54J
2912,Acet H/C II,Acet HC II,aaEtUWpmosm,S5fvUXgY54J
8,Achol Pii H/C III,Acholpii HC III,aKoVWgIufTx,ztIyIYAzFKp
785,Achol Pii Military H/C IV,5Th  Military Division HOSPITAL,auzuV39xOTU,aBrjuZk0W31
9,Acholi Bur H/C III,Acholi-Bur HC III,KgFiiUmrRxI,aBrjuZk0W31
2592,Acowa H/C III,Acowa HC III,krIH36G6xhy,TM6ccNxawqy
1599,Adilang H/C III,Adilang HC III,FvewOonC8lS,ztIyIYAzFKp
10,Adjumani Hospital,Adjumani   HOSPITAL,hvtKTUxWNrt,QYiQ2KqgCxj
2738,Adjumani Mission H/C III,Adjumani Mission HC III,aoqEF4fUP18,QYiQ2KqgCxj
11,Adok H/C II,Adok HC II,tdWJ67qCYZK,wMQ25dybdgH
12,Aduku H/C II (NGO),Aduku Mission HC II,YrbvkUaWpi1,JyZJhGXKeEq
13,Aduku H/C IV,Aduku HC IV,WEH3aMvIS0B,JyZJhGXKeEq
2766,"Adumi H/C IV 	",Adumi HC IV,H7pcxkjHX8T,WcB3kLlgRTb
14,Agali H/C III,Agali HC III,I9nJzN3m8qL,Lj8t70RYnEt
8245,Agaria H/C II,Agaria  HC II,l9hCccYpw87,saT18HClZoz
3308,Agirigiroi H/C II,Agirigiroi HC II,PCvI4E289K1,srmGjHrpVE5
15,Agoro H/C III,Lamwo Agoro HC III GOVT,tvKjvN8d4rR,xy0M4HhjXtD
2648,Agu H/C III,Agu HC III,S70E0FJrMtU,aj4hsYK3dVm
2856,Agule H/C III,Agule HC III,aMrHxMQoKXP,WiVj4bEhX4P
18,Agulurude H/C III,Agulurude HC III,aes9vvQi4Df,xpIFdCMhVHG
19,Agwata H/C III,Agwatta HC III,sYHZIUFx50X,wMQ25dybdgH
3356,Ahmadiyya H/C III,Ahamadiya HC III,potmv2l4HbN,yuo5ielNL7W
2889,Aids Information Center(Jinja),AIC Jinja Main Branch,ndyRWKL0fDH,aJR2ZxSH7g4
2514,Aids Information Center(Mbale),AIC Mbale Main Branch CLINIC,v9p3jFvYYtP,yuo5ielNL7W
1689,AIDS Information Centre (Kabale),AIC Kabale Main Branch Clinic,s0sTvb5DnDP,zBIpPzKYFLp
3065,Aids Information Centre (Kampala),AIC Kampala Main Branch HC IV,rxoAz9lkuSi,aXmBzv61LbM
1535,AIDS Information Centre (Mbarara),AIC Mbarara Main Branch CLINIC,sPWbPZtb3ut,auswb7JO9wY
3399,AIDS Information Centre (Soroti),AIC Soroti Branch CLINIC,p0gQCb29YsS,srmGjHrpVE5
3373,AIDS Information Centre(Lira),AIC Lira Main Branch Clinic,b27exHAFNPv,Lj8t70RYnEt
2639,Ajeluk H/C III,Ajeluk HC III,X8l6y8IN4z9,aj4hsYK3dVm
20,Akalo H/C III,Akalo HC III,h9Jydxolx2q,Y4LV8xqkv6J
2878,Aketa H/C III,Aketa HC III,fFMFDu21aWq,cSrCFjPKqcG
8231,Akide H/C II,Akide HC II,Kf1o8kvbbaS,saT18HClZoz
3404,Akoboi H/C II (katakwi),Katakwi Akoboi HC II GOVT,usd4FQttAvy,cSrCFjPKqcG
21,Akokoro H/C III,Akokoro HC III,rjOHz4O83zh,JyZJhGXKeEq
22,Akuna Laber H/C III,Akuna Laber HC III,aWMoXZucGiV,pnTVIF5v27r
2958,Akura H/C II,Akura HC II,zkvmBd2YoxG,p7EEgDEX3jT
3213,Akworo H/C III,Akworo HC III,gBiYU9OJgsv,Xjc0LDFa5gW
2683,Alangi H/C III,Alangi HC III,apEUhKfLxjY,A4aGXEfdb8P
2304,Alanyi H/C III,Alanyi HC III,pk373UmcJEF,p7EEgDEX3jT
23,Alebtong H/C IV,Alebtong HC IV,RdmsO9Kftg9,p7EEgDEX3jT
1415,Alenga H/C III,Alenga HC III,eR77udlIWIM,JyZJhGXKeEq
24,Alerek H/C III,Alerek HC III,RLWAwgTDjSJ,NREoMszwQZW
25,Alero H/C III,Alero HC III,EPyMwPkmKPx,zNgVoDVPYgD
2788,Aliba H/C III,Aliba HC III,AZRfSZ46cbp,W0kQBddyGyh
26,Alito H/C III,Alito HC III,avAlXE2E7Re,Y4LV8xqkv6J
27,Alive Medical Services H/C III,Alive Medical Services HC III,PHhcBpjIWvL,aXmBzv61LbM
2225,Aliwang H/C III,Aliwang HC III,L4ABgSqNsXd,aXjub1BYn1y
8227,All Saints Buchanagandi H/C III,Buchanagandi HC III,fKvVQoaVcjz,Oyxwe3iDqpR
3006,All Saints H/C II,All Saints HC II,M2Es7QYNu3D,aBrjuZk0W31
1631,Aloi Mission H/C III,Aloi Mission HC III,q2vSqN5xoZL,p7EEgDEX3jT
2945,Alokolum H/C II,Alokolum HC II,YLwAhOTWHrQ,S5fvUXgY54J
2645,Alwa H/C III,Alwa HC III,VEc0XL8e8Sa,QoRZB7xc3j9
2675,Alwi H/C III,Alwi HC III,KLEPRYA9Nge,Xjc0LDFa5gW
29,Amach H/C IV (Lira),Amach HC IV,ah2PY0hhVkV,Lj8t70RYnEt
30,Amai Community Hospital,Amai Community Hospital,Zk9bvpSxThA,ZuQHWOaFQVM
31,Amolatar H/C IV,Amolatar HC IV,XazfKCvCCLS,ZuQHWOaFQVM
32,Amuca SDA H/C III,Amuca SDA HC III,pNHDdE8BJt8,Lj8t70RYnEt
2830,Amucu H/C III,Amucu HC III,N8L6gKVGOCM,TM6ccNxawqy
2581,Amudat Hospital,Amudat Hospital,gVSFfQXW1J2,a8RHFdF4DXL
35,Amugu H/C III,Amugu HC III,acBVtDN7cmd,p7EEgDEX3jT
2859,Amuria H/C IV,Amuria HC IV,oRHreBW5Tyr,TM6ccNxawqy
37,Amuru H/C III,Amuru HC III,aFgrVHVDqoZ,C0RSe3EWBqU
2681,Amusus H/C III,Amusus HC III,kwd5xyrWwvO,TM6ccNxawqy
1783,Anaka H/C II,Anaka HC II,bLzMzz5fzGQ,xy0M4HhjXtD
38,Anaka Hospital,Anaka Hospital,PgRLMNQdejC,zNgVoDVPYgD
2713,Angagura H/C III,Angagura HC III,ygTUi4HvPHJ,aBrjuZk0W31
1436,Angal Hospital (St Luke),Angal St. Luke HOSPITAL,K7Do3WBvmLa,Xjc0LDFa5gW
3186,Angaya H/C III,Angaya HC III,P2sdfoxH0a7,Gwk4wkLz7EW
2957,Ateno H/C II,Oteno HC II,MVYYKgICwep,p7EEgDEX3jT
8211,Anyangatir H/C III,Anyangatir HC II,PLdHddb1W06,Lj8t70RYnEt
2823,Anyara H/C III,Anyara HC III,ZOAvFhJT2vI,QoRZB7xc3j9
41,Anyeke H/C IV,Anyeke HC IV,EYklRtOZrwz,xpIFdCMhVHG
3228,Anyiribu H/C III ,Anyiribu HC III,FKuNaclJDeD,WcB3kLlgRTb
3349,Aoet H/C III,AOET HC II,YUaxNtqNWFW,aJR2ZxSH7g4
42,Apac Hospital,Apac HOSPITAL,OeBKA5gCBXG,JyZJhGXKeEq
43,Apala Bar Owoo H/C III,Apalabarowo HC III,vt2z3wXqBGE,Y4LV8xqkv6J
44,Apala H/C III,Apala HC III,AKNaO98uuZO,p7EEgDEX3jT
2753,Apapai H/C II,Apapai HC II,auhs8cHBTlW,QoRZB7xc3j9
2596,Apapai H/C IV (Serere),Apapai HC IV,qzSy84YdUkX,zJfpujxC1kD
3159,Apeitolim H/C II,Apeitolim HC II,yTVIFlAzVwb,EDhGji3EteB
2964,Apire H/C II,Apire HC II,vbqYR19aqUK,JyZJhGXKeEq
3388,Apodorwa H/C II,Apodorwa HC II,NwDdmtvuy4J,B0G9cqixld8
46,Apoi H/C III,Apoi HC III,x6tiiRt28yz,JyZJhGXKeEq
2840,Apopong H/C III,Apopong HC III,DE5VuZb0Xei,WiVj4bEhX4P
47,Aputi H/C III,Aputi HC III,XQqrn8K8jyL,ZuQHWOaFQVM
1011,Apwori H/C III,Apwori HC III,CWtHofajIfs,JyZJhGXKeEq
3398,Ariba H/C II,Ariba HC II,LLYB1JRn1UL,xpIFdCMhVHG
2759,Aripea H/C III,Aripea HC III,QF2BTAZ1r3Z,WcB3kLlgRTb
2804,Ariwa H/C III,Ariwa HC III,hcm0msXFRQJ,W1JM2Qdhcv3
