id,district,dhis2_name,dhis2_uid,mapCode,regionID,created,createdby
1,Abim,NULL,NULL,UG.AI,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
2,Adjumani,NULL,NULL,UG.AD,14,"2014-07-14 11:02:44",samuel@trailanalytics.com
3,Amolatar,NULL,NULL,UG.AT,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
4,Amuria,NULL,NULL,UG.AM,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
5,Amuru,NULL,NULL,UG.KQ,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
6,Apac,NULL,NULL,UG.AC,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
7,Arua,NULL,NULL,UG.AW,14,"2014-07-14 11:02:44",samuel@trailanalytics.com
8,Budaka,NULL,NULL,UG.BD,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
9,Bududa,NULL,NULL,,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
10,Bugiri,NULL,NULL,UG.BG,7,"2014-07-14 11:02:44",samuel@trailanalytics.com
11,Buikwe,NULL,NULL,,6,"2014-07-14 11:02:44",samuel@trailanalytics.com
12,Bukedea,NULL,NULL,,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
13,Bukwo,NULL,NULL,UG.BW,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
14,Buliisa,NULL,NULL,UG.BL,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
15,Bundibugyo,NULL,NULL,UG.BN,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
16,Bushenyi,NULL,NULL,UG.BS,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
17,Busia,NULL,NULL,UG.BU,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
18,Butaleja,NULL,NULL,UG.BJ,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
19,Buvuma,NULL,NULL,,6,"2014-07-14 11:02:44",samuel@trailanalytics.com
20,Buyende,NULL,NULL,,7,"2014-07-14 11:02:44",samuel@trailanalytics.com
22,Dokolo,NULL,NULL,UG.DO,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
23,Gulu,NULL,NULL,UG.GL,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
24,Hoima,NULL,NULL,UG.HO,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
25,Ibanda,NULL,NULL,UG.IB,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
26,Iganga,NULL,NULL,UG.IN,7,"2014-07-14 11:02:44",samuel@trailanalytics.com
27,Isingiro,NULL,NULL,UG.IS,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
28,Jinja,NULL,NULL,UG.JI,7,"2014-07-14 11:02:44",samuel@trailanalytics.com
29,Kaabong,NULL,NULL,UG.AB,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
30,Kabale,NULL,NULL,UG.KA,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
31,Kabarole,NULL,NULL,UG.BR,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
32,Kaberamaido,NULL,NULL,UG.KD,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
33,Kalangala,NULL,NULL,UG.KN,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
34,Kaliro,NULL,NULL,UG.RO,7,"2014-07-14 11:02:44",samuel@trailanalytics.com
35,Kampala,NULL,NULL,UG.KM,8,"2014-07-14 11:02:44",samuel@trailanalytics.com
36,Kamuli,NULL,NULL,UG.KX,7,"2014-07-14 11:02:44",samuel@trailanalytics.com
37,Kamwenge,NULL,NULL,UG.KE,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
38,Kanungu,NULL,NULL,UG.UU,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
39,Kapchorwa,NULL,NULL,UG.KP,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
40,Kasese,"Kasese District",aa8xVDzSpte,UG.KS,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
41,Katakwi,NULL,NULL,UG.KK,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
42,Kayunga,NULL,NULL,UG.KY,6,"2014-07-14 11:02:44",samuel@trailanalytics.com
43,Kibaale,NULL,NULL,UG.KI,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
44,Kiboga,NULL,NULL,UG.KG,6,"2014-07-14 11:02:44",samuel@trailanalytics.com
45,Kiruhura,NULL,NULL,UG.KH,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
46,Kisoro,NULL,NULL,UG.KR,13,"2014-07-14 11:02:44",samuel@trailanalytics.com
47,Kitgum,NULL,NULL,UG.TG,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
48,Koboko,NULL,NULL,UG.OK,14,"2014-07-14 11:02:44",samuel@trailanalytics.com
49,Kotido,NULL,NULL,UG.KF,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
50,Kumi,"Kumi District",saT18HClZoz,UG.KU,12,"2014-07-14 11:02:44",samuel@trailanalytics.com
51,Kyegegwa,NULL,NULL,,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
52,Kyenjojo,NULL,NULL,UG.KJ,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
53,Lamwo,NULL,NULL,,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
54,Lira,NULL,NULL,UG.LI,10,"2014-07-14 11:02:44",samuel@trailanalytics.com
56,Lyantonde,NULL,NULL,,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
57,Manafwa,NULL,NULL,UG.MF,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
58,Maracha-Terego,NULL,NULL,UG.MH,14,"2014-07-14 11:02:44",samuel@trailanalytics.com
59,Masaka,NULL,NULL,UG.MA,5,"2014-07-14 11:02:44",samuel@trailanalytics.com
60,Masindi,NULL,NULL,UG.MC,11,"2014-07-14 11:02:44",samuel@trailanalytics.com
61,Mayuge,NULL,NULL,UG.MG,7,"2014-07-14 11:02:44",samuel@trailanalytics.com
62,Mbale,NULL,NULL,UG.ME,9,"2014-07-14 11:02:44",samuel@trailanalytics.com
